timestamp_before, timestamp_After, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487805312.41853,1487805312.42946,-0.091797,0.681641,0.051758,-1.953125,-1.831055,-3.295898
1487805312.42960,1487805312.43207,-0.101074,0.687500,-0.009277,-4.638672,-1.525879,-2.868652
1487805312.43214,1487805312.43455,-0.041504,0.692383,0.030762,-3.051758,-2.197266,-2.563477
1487805312.43461,1487805312.43745,-0.053223,0.662109,0.010742,-2.197266,-1.281738,-2.807617
1487805312.43751,1487805312.43992,-0.100586,0.678711,0.024902,-2.502441,-1.770020,-2.990723
1487805312.43998,1487805312.44239,-0.079102,0.695312,0.007324,-2.380371,-1.770020,-3.173828
1487805312.44245,1487805312.44486,-0.079102,0.683594,-0.016602,-3.479004,-1.525879,-3.356934
1487805312.44492,1487805312.44732,-0.113281,0.683594,-0.019531,-4.577637,-1.281738,-2.807617
1487805312.44738,1487805312.45020,-0.055176,0.668945,-0.012207,-4.272461,-2.014160,-3.173828
1487805312.45026,1487805312.45256,-0.089844,0.687500,0.073730,-2.502441,-1.708984,-2.380371
1487805312.45262,1487805312.45492,-0.069336,0.700684,0.084473,-4.394531,-1.159668,-3.051758
1487805312.45498,1487805312.45752,-0.033691,0.666016,0.019531,-3.295898,-1.159668,-2.929688
1487805312.45758,1487805312.45987,-0.075684,0.687012,0.058105,-3.417969,-1.708984,-2.929688
1487805312.45993,1487805312.46222,-0.081543,0.700684,0.002930,-3.845215,-1.220703,-3.356934
1487805312.46229,1487805312.46458,-0.105469,0.681641,0.060059,-2.380371,-1.464844,-3.601074
1487805312.46464,1487805312.46703,-0.101074,0.690918,0.005371,-1.831055,-2.014160,-3.723145
1487805312.46709,1487805312.46939,-0.076172,0.679199,0.014160,-1.586914,-2.563477,-3.601074
1487805312.46945,1487805312.47175,-0.077148,0.692871,-0.054688,-2.807617,-2.380371,-3.417969
1487805312.47181,1487805312.47410,-0.080078,0.690430,0.111328,-2.685547,-1.892090,-3.479004
1487805312.47416,1487805312.47653,-0.056152,0.711914,-0.014648,-2.868652,-1.953125,-3.295898
1487805312.47659,1487805312.47888,-0.088867,0.666992,0.008301,-2.380371,-1.708984,-3.173828
1487805312.47894,1487805312.48123,-0.083008,0.677246,-0.044922,-3.234863,-2.075195,-3.234863
1487805312.48129,1487805312.48359,-0.057129,0.678711,-0.004395,-3.784180,-2.197266,-3.234863
1487805312.48365,1487805312.48598,-0.060547,0.693359,-0.007812,-3.417969,-2.746582,-3.417969
1487805312.48604,1487805312.48865,-0.065430,0.681641,0.049316,-2.929688,-2.258301,-2.929688
1487805312.48871,1487805312.49100,-0.068359,0.662598,0.051758,-3.234863,-2.075195,-3.417969
1487805312.49106,1487805312.49336,-0.035156,0.702148,-0.081543,-3.662109,-1.220703,-2.502441
1487805312.49342,1487805312.49577,-0.070312,0.690430,0.027344,-3.601074,-0.305176,-2.990723
1487805312.49583,1487805312.49826,-0.050293,0.700684,0.024414,-3.173828,-1.464844,-2.624512
1487805312.49832,1487805312.50075,-0.088379,0.675781,0.000488,-1.831055,-1.892090,-2.502441
1487805312.50081,1487805312.50323,-0.073242,0.695312,-0.013672,-3.173828,-1.708984,-3.601074
1487805312.50329,1487805312.50575,-0.091797,0.699219,-0.023438,-2.380371,-2.258301,-3.173828
1487805312.50581,1487805312.50812,-0.084961,0.684570,0.112793,-2.990723,-1.892090,-3.173828
1487805312.50818,1487805312.51049,-0.069824,0.701172,-0.007324,-3.173828,-1.647949,-3.417969
1487805312.51055,1487805312.51285,-0.071777,0.669434,0.019531,-3.112793,-1.892090,-2.990723
1487805312.51291,1487805312.51522,-0.075684,0.689453,-0.076660,-2.624512,-1.708984,-2.746582
1487805312.51528,1487805312.51769,-0.104492,0.690918,0.088867,-2.868652,-1.525879,-2.807617
1487805312.51775,1487805312.52018,-0.090820,0.679688,-0.013672,-1.770020,-1.342773,-3.295898
1487805312.52024,1487805312.52266,-0.097656,0.665039,0.009277,-2.014160,-1.342773,-3.234863
1487805312.52272,1487805312.52515,-0.058105,0.678711,0.064941,-2.502441,-0.854492,-3.051758
1487805312.52536,1487805312.52771,-0.060059,0.680664,0.024414,-2.441406,-1.159668,-3.723145
1487805312.52777,1487805312.53007,-0.092773,0.695801,0.008789,-3.234863,-1.708984,-3.662109
1487805312.53013,1487805312.53243,-0.111328,0.696777,-0.085938,-3.173828,-1.892090,-3.662109
1487805312.53249,1487805312.53479,-0.082031,0.678711,0.014160,-3.112793,-1.037598,-3.723145
1487805312.53485,1487805312.53736,-0.090820,0.692871,0.002441,-3.234863,-1.586914,-4.089355
1487805312.53742,1487805312.53973,-0.092773,0.669922,-0.023438,-2.807617,-1.464844,-3.234863
1487805312.53979,1487805312.54209,-0.095215,0.692383,0.074707,-2.197266,-1.953125,-3.173828
1487805312.54215,1487805312.54445,-0.070312,0.692383,0.003418,-2.807617,-1.525879,-3.479004
1487805312.54451,1487805312.54690,-0.062988,0.670898,0.060059,-3.845215,-1.403809,-3.662109
1487805312.54696,1487805312.54938,-0.038086,0.681152,-0.036133,-2.807617,-2.014160,-2.990723
1487805312.54944,1487805312.55187,-0.080078,0.687012,0.054199,-3.356934,-1.098633,-3.051758
1487805312.55193,1487805312.55436,-0.045410,0.687500,0.024902,-3.479004,-0.854492,-3.540039
1487805312.55442,1487805312.55681,-0.047852,0.687988,-0.059082,-2.441406,-0.793457,-3.601074
1487805312.55687,1487805312.55917,-0.122559,0.666016,0.012207,-3.784180,-0.793457,-3.295898
1487805312.55923,1487805312.56153,-0.097656,0.692871,0.011230,-2.868652,-2.014160,-3.234863
1487805312.56159,1487805312.56390,-0.087402,0.688965,0.026367,-2.929688,-1.525879,-3.173828
1487805312.56396,1487805312.56633,-0.062988,0.697754,0.050293,-2.563477,-1.770020,-3.662109
1487805312.56639,1487805312.56878,-0.075195,0.669434,0.060059,-3.295898,-2.075195,-3.906250
1487805312.56884,1487805312.57123,-0.067871,0.673828,-0.017090,-3.540039,-2.258301,-3.234863
1487805312.57129,1487805312.57368,-0.101074,0.674805,0.006348,-3.173828,-2.136230,-3.845215
1487805312.57374,1487805312.57691,-0.099121,0.682617,0.104004,-2.563477,-2.807617,-2.685547
1487805312.57697,1487805312.57927,-0.113281,0.673340,0.004883,-3.417969,-2.197266,-3.356934
1487805312.57933,1487805312.58163,-0.077148,0.681152,-0.029297,-2.807617,-2.014160,-3.601074
1487805312.58169,1487805312.58398,-0.086914,0.681641,-0.007324,-1.342773,-2.197266,-3.540039
1487805312.58404,1487805312.58643,-0.027344,0.701172,-0.109863,-2.502441,-1.708984,-3.356934
1487805312.58649,1487805312.58878,-0.101074,0.692383,0.113770,-3.906250,-1.159668,-3.784180
1487805312.58885,1487805312.59114,-0.099121,0.689453,-0.039551,-2.807617,-1.464844,-3.540039
1487805312.59120,1487805312.59350,-0.084473,0.691406,0.073242,-2.624512,-2.075195,-4.150391
1487805312.59356,1487805312.59598,-0.060547,0.689453,0.013184,-3.112793,-2.258301,-4.272461
1487805312.59604,1487805312.59834,-0.082031,0.685547,0.069824,-2.746582,-2.075195,-4.150391
1487805312.59840,1487805312.60068,-0.064941,0.684570,-0.009766,-4.150391,-2.197266,-4.089355
1487805312.60075,1487805312.60312,-0.083496,0.672852,0.007324,-4.638672,-1.586914,-3.112793
1487805312.60318,1487805312.60548,-0.081543,0.703125,0.116211,-3.295898,-2.014160,-2.990723
1487805312.60554,1487805312.60788,-0.106445,0.676758,0.053223,-2.807617,-1.525879,-2.929688
1487805312.60794,1487805312.61024,-0.075684,0.689453,-0.016602,-3.173828,-2.136230,-2.868652
1487805312.61030,1487805312.61260,-0.091797,0.666992,0.043457,-1.770020,-2.563477,-3.173828
1487805312.61266,1487805312.61495,-0.089355,0.702148,0.016113,-2.075195,-2.197266,-3.479004
1487805312.61501,1487805312.61742,-0.088867,0.687500,-0.028320,-3.234863,-1.770020,-3.662109
1487805312.61748,1487805312.61990,-0.087402,0.681152,0.052246,-2.563477,-1.647949,-3.540039
1487805312.61996,1487805312.62238,-0.077637,0.696777,0.032227,-1.647949,-1.953125,-3.540039
1487805312.62254,1487805312.62497,-0.094238,0.682617,0.066406,-1.831055,-1.281738,-3.601074
1487805312.62503,1487805312.62746,-0.092773,0.671387,0.044434,-2.929688,-1.220703,-2.929688
