timestamp_before, timestamp_After, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487805379.86883,1487805379.87897,-0.083496,0.679688,0.078125,-2.075195,-2.441406,-3.234863
1487805379.87911,1487805379.88141,-0.058105,0.697754,0.058594,-1.953125,-3.051758,-4.577637
1487805379.88148,1487805379.88377,-0.04541,0.683594,0.033691,-1.525879,-2.380371,-4.699707
1487805379.88383,1487805379.88640,-0.015137,0.695801,0.015137,-0.854492,-3.601074,-3.662109
1487805379.88646,1487805379.88884,-0.053223,0.700195,0.01123,-2.502441,-2.624512,-3.540039
1487805379.88890,1487805379.89128,-0.067871,0.68457,0.053223,-2.319336,-2.319336,-4.272461
1487805379.89134,1487805379.89384,-0.077148,0.694824,-0.026855,-1.953125,-2.624512,-3.967285
1487805379.89390,1487805379.89709,-0.047363,0.691406,0.022949,-1.342773,-2.990723,-3.479004
1487805379.89716,1487805379.90073,-0.076172,0.6875,0.088867,-1.708984,-3.051758,-4.02832
1487805379.90081,1487805379.90322,-0.071777,0.696777,-0.097656,-2.380371,-2.380371,-4.760742
1487805379.90328,1487805379.90568,-0.055664,0.6875,0.11377,-2.319336,-1.403809,-4.760742
1487805379.90581,1487805379.90859,-0.065918,0.69043,0.09668,-2.319336,-2.13623,-3.662109
1487805379.90865,1487805379.91103,-0.043457,0.683105,-0.072754,-2.319336,-2.746582,-3.356934
1487805379.91109,1487805379.91348,-0.089844,0.702637,0.102051,-1.77002,-3.540039,-3.295898
1487805379.91354,1487805379.91595,-0.060547,0.685059,0.089844,-1.89209,-2.258301,-3.051758
1487805379.91601,1487805379.91831,-0.075195,0.683105,0.06543,-3.356934,-2.13623,-4.272461
1487805379.91837,1487805379.92066,-0.052246,0.709961,-0.020508,-2.258301,-3.234863,-4.211426
1487805379.92072,1487805379.92302,-0.070312,0.674805,-0.041992,-3.601074,-2.807617,-4.516602
1487805379.92309,1487805379.92537,-0.086914,0.687988,-0.071777,-3.051758,-2.685547,-4.089355
1487805379.92543,1487805379.92773,-0.075195,0.677734,0.022461,-1.586914,-3.051758,-3.967285
1487805379.92779,1487805379.93009,-0.053711,0.687988,0.078125,-2.441406,-2.685547,-4.455566
1487805379.93015,1487805379.93244,-0.044434,0.681152,0.047363,-2.868652,-1.831055,-4.638672
1487805379.93250,1487805379.93480,-0.049316,0.729004,-0.007324,-3.112793,-2.441406,-3.662109
1487805379.93486,1487805379.93724,-0.047852,0.692871,-0.098145,-2.441406,-3.540039,-3.845215
1487805379.93731,1487805379.93972,-0.071289,0.674805,0.120117,-2.258301,-3.173828,-3.78418
1487805379.93979,1487805379.94221,-0.038574,0.677246,-0.004883,-3.295898,-2.990723,-4.150391
1487805379.94227,1487805379.94469,-0.057617,0.695312,-0.005371,-3.173828,-2.685547,-3.601074
1487805379.94475,1487805379.94711,-0.06543,0.687012,-0.01123,-2.441406,-2.685547,-4.02832
1487805379.94717,1487805379.95011,-0.071777,0.700195,-0.061523,-2.441406,-3.90625,-4.089355
1487805379.95017,1487805379.95247,-0.080078,0.67334,0.102051,-3.051758,-4.333496,-4.333496
1487805379.95253,1487805379.95483,-0.053223,0.668945,-0.022949,-2.929688,-3.479004,-4.150391
1487805379.95489,1487805379.95728,-0.09668,0.685547,0.062012,-2.929688,-3.479004,-4.455566
1487805379.95734,1487805379.95976,-0.066406,0.689453,-0.030762,-1.953125,-3.662109,-4.150391
1487805379.95983,1487805379.96224,-0.077637,0.690918,-0.012207,-1.525879,-3.723145,-4.089355
1487805379.96230,1487805379.96473,-0.083008,0.675781,-0.014648,-2.13623,-3.540039,-5.126953
1487805379.96479,1487805379.96722,-0.020508,0.692383,-0.022461,-3.78418,-3.479004,-3.845215
1487805379.96728,1487805379.96970,-0.097168,0.672852,0.025879,-2.868652,-3.295898,-4.150391
1487805379.96976,1487805379.97218,-0.108398,0.702637,0.019043,-1.831055,-3.662109,-4.02832
1487805379.97224,1487805379.97466,-0.101562,0.688965,-0.007812,-1.708984,-3.845215,-4.089355
1487805379.97473,1487805379.97709,-0.046387,0.6875,0.019043,-2.075195,-4.089355,-3.662109
1487805379.97731,1487805379.97962,-0.07373,0.680664,-0.057617,-3.112793,-3.112793,-3.967285
1487805379.97968,1487805379.98197,-0.099121,0.668945,0.114258,-2.075195,-3.479004,-4.02832
1487805379.98203,1487805379.98433,-0.027344,0.703613,-0.021484,-1.953125,-3.112793,-3.662109
1487805379.98439,1487805379.98673,-0.062988,0.671387,0.036133,-4.577637,-2.868652,-3.78418
1487805379.98679,1487805379.98908,-0.055664,0.702637,0.020508,-3.417969,-3.540039,-4.455566
1487805379.98914,1487805379.99144,-0.091309,0.696777,-0.022461,-1.77002,-3.112793,-4.699707
1487805379.99150,1487805379.99379,-0.069824,0.681152,-0.047852,-1.220703,-2.685547,-4.577637
1487805379.99385,1487805379.99629,-0.077148,0.676758,0.050293,-1.342773,-2.929688,-4.516602
1487805379.99635,1487805379.99865,-0.043945,0.685547,0.032715,-1.464844,-1.708984,-4.211426
1487805379.99871,1487805380.00101,-0.104004,0.694824,0.044434,-3.173828,-2.13623,-4.272461
1487805380.00107,1487805380.00338,-0.04248,0.714355,-0.012695,-3.356934,-3.051758,-4.699707
1487805380.00344,1487805380.00587,-0.096191,0.674805,-0.10791,-2.075195,-2.685547,-4.272461
1487805380.00593,1487805380.00832,-0.077148,0.679688,0.094727,-1.159668,-1.708984,-4.394531
1487805380.00838,1487805380.01077,-0.025879,0.682617,-0.100586,-3.051758,-1.77002,-4.150391
1487805380.01083,1487805380.01321,-0.084961,0.675293,-0.018555,-1.77002,-2.380371,-4.272461
1487805380.01328,1487805380.01577,-0.083496,0.678711,0.018066,-1.159668,-2.319336,-3.90625
1487805380.01583,1487805380.01830,-0.085449,0.670898,0.016602,-2.502441,-1.831055,-4.089355
1487805380.01836,1487805380.02079,-0.069336,0.703125,0.000488,-2.685547,-2.319336,-3.417969
1487805380.02085,1487805380.02328,-0.091309,0.686523,-0.026367,-3.234863,-3.601074,-3.601074
1487805380.02334,1487805380.02577,-0.069824,0.679199,0.026367,-1.77002,-2.990723,-3.417969
1487805380.02583,1487805380.02813,-0.053223,0.690918,0.022949,-2.13623,-2.441406,-3.173828
1487805380.02819,1487805380.03048,-0.083496,0.708496,0.026855,-2.624512,-1.953125,-3.051758
1487805380.03055,1487805380.03284,-0.071777,0.703613,-0.03125,-3.845215,-1.77002,-3.295898
1487805380.03290,1487805380.03520,-0.078125,0.679688,0.080078,-3.051758,-1.708984,-3.967285
1487805380.03526,1487805380.03756,-0.04834,0.677734,0.027344,-1.953125,-2.13623,-4.272461
1487805380.03762,1487805380.03992,-0.084473,0.662598,0.012695,-2.441406,-2.929688,-3.723145
1487805380.03998,1487805380.04228,-0.049316,0.668457,-0.120117,-2.990723,-2.685547,-3.967285
1487805380.04234,1487805380.04463,-0.056152,0.678711,0.01709,-1.89209,-2.624512,-3.662109
1487805380.04469,1487805380.04707,-0.045898,0.65918,-0.019043,-2.502441,-1.89209,-3.479004
1487805380.04713,1487805380.04956,-0.07959,0.70459,0.044434,-3.90625,-1.098633,-3.479004
1487805380.04962,1487805380.05204,-0.074219,0.708984,0.058594,-2.929688,-1.037598,-4.089355
1487805380.05210,1487805380.05452,-0.063477,0.693359,-0.055664,-3.417969,-1.831055,-2.624512
1487805380.05458,1487805380.05702,-0.091309,0.69043,0.115234,-3.295898,-1.77002,-2.868652
1487805380.05708,1487805380.05950,-0.055664,0.683105,-0.015625,-3.417969,-2.563477,-3.112793
1487805380.05956,1487805380.06205,-0.058594,0.689453,0.024414,-2.990723,-2.13623,-3.540039
1487805380.06211,1487805380.06453,-0.110352,0.694336,-0.020996,-1.89209,-2.380371,-3.540039
1487805380.06459,1487805380.06702,-0.085449,0.690918,0.004883,-3.051758,-2.13623,-3.417969
1487805380.06708,1487805380.06950,-0.094238,0.666504,0.022949,-3.479004,-1.525879,-3.540039
