Sample Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
0.00000,-0.014,1.0708,-0.2224
0.00153,-0.014,1.0708,-0.2224
0.00296,-0.0192,0.989,-0.2062
0.00436,-0.0192,0.989,-0.2062
0.00576,-0.0192,0.989,-0.2062
0.00716,-0.0192,0.989,-0.2062
0.00857,-0.0192,0.989,-0.2062
0.00997,-0.0192,0.989,-0.2062
0.01144,-0.0192,0.989,-0.2062
0.01295,-0.0192,0.989,-0.2062
0.01436,-0.0192,0.989,-0.2062
0.01576,-0.0167,0.9894,-0.2004
0.01717,-0.0167,0.9894,-0.2004
0.01857,-0.0167,0.9894,-0.2004
0.01997,-0.0167,0.9894,-0.2004
0.02143,-0.0167,0.9894,-0.2004
0.02290,-0.0167,0.9894,-0.2004
0.02432,-0.0167,0.9894,-0.2004
0.02572,-0.0167,0.9894,-0.2004
0.02712,-0.0167,0.9894,-0.2004
0.02852,-0.0167,0.9894,-0.2004
0.02992,-0.0167,0.9894,-0.2004
0.03134,-0.0167,0.9894,-0.2004
0.03280,-0.0167,0.9894,-0.2004
0.03425,-0.0167,0.9894,-0.2004
0.03565,-0.0133,0.9899,-0.207
0.03706,-0.0133,0.9899,-0.207
0.03846,-0.0133,0.9899,-0.207
0.03986,-0.0133,0.9899,-0.207
0.04136,-0.0133,0.9899,-0.207
0.04291,-0.0133,0.9899,-0.207
0.04439,-0.0133,0.9899,-0.207
0.04586,-0.0133,0.9899,-0.207
0.04733,-0.0133,0.9899,-0.207
0.04880,-0.0133,0.9899,-0.207
0.05028,-0.0133,0.9899,-0.207
0.05176,-0.0133,0.9899,-0.207
0.05323,-0.0133,0.9899,-0.207
0.05471,-0.0133,0.9899,-0.2102
0.05619,-0.0095,0.9834,-0.2102
0.05766,-0.0095,0.9834,-0.2102
0.05913,-0.0095,0.9834,-0.2102
0.06060,-0.0095,0.9834,-0.2102
0.06206,-0.0095,0.9834,-0.2102
0.06348,-0.0095,0.9834,-0.2102
0.06488,-0.0095,0.9834,-0.2102
0.06629,-0.0095,0.9834,-0.2102
0.06769,-0.0095,0.9834,-0.2102
0.06909,-0.0095,0.9834,-0.2102
0.07050,-0.0095,0.9834,-0.2102
0.07195,-0.0095,0.9834,-0.2102
0.07341,-0.0095,0.9834,-0.2102
0.07481,-0.0095,0.9868,-0.1941
0.07621,-0.0078,0.9868,-0.1941
0.07762,-0.0078,0.9868,-0.1941
0.07902,-0.0078,0.9868,-0.1941
0.08043,-0.0078,0.9868,-0.1941
0.08199,-0.0078,0.9868,-0.1941
0.08340,-0.0078,0.9868,-0.1941
0.08480,-0.0078,0.9868,-0.1941
0.08621,-0.0078,0.9868,-0.1941
0.08766,-0.0078,0.9868,-0.1941
0.08911,-0.0078,0.9868,-0.1941
0.09052,-0.0078,0.9868,-0.1941
0.09194,-0.0078,0.9868,-0.1941
0.09340,-0.0078,0.9868,-0.1941
0.09486,-0.0078,0.9877,-0.1898
0.09631,-0.0076,0.9877,-0.1898
0.09775,-0.0076,0.9877,-0.1898
0.09926,-0.0076,0.9877,-0.1898
0.10073,-0.0076,0.9877,-0.1898
0.10223,-0.0076,0.9877,-0.1898
0.10372,-0.0076,0.9877,-0.1898
0.10519,-0.0076,0.9877,-0.1898
0.10667,-0.0076,0.9877,-0.1898
0.10815,-0.0076,0.9877,-0.1898
0.10963,-0.0076,0.9877,-0.1898
0.11109,-0.0076,0.9877,-0.1898
0.11257,-0.0076,0.9877,-0.1898
0.11405,-0.0076,0.9877,-0.1936
0.11553,-0.0054,0.993,-0.1936
0.11700,-0.0054,0.993,-0.1936
0.11848,-0.0054,0.993,-0.1936
0.11995,-0.0054,0.993,-0.1936
0.12144,-0.0054,0.993,-0.1936
0.12290,-0.0054,0.993,-0.1936
0.12430,-0.0054,0.993,-0.1936
0.12572,-0.0054,0.993,-0.1936
0.12713,-0.0054,0.993,-0.1936
0.12853,-0.0054,0.993,-0.1936
0.12993,-0.0054,0.993,-0.1936
0.13141,-0.0054,0.993,-0.1936
0.13291,-0.0054,0.993,-0.1936
0.13432,-0.0054,0.9823,-0.2062
0.13572,0.0015,0.9823,-0.2062
0.13713,0.0015,0.9823,-0.2062
0.13853,0.0015,0.9823,-0.2062
0.13994,0.0015,0.9823,-0.2062
0.14139,0.0015,0.9823,-0.2062
0.14288,0.0015,0.9823,-0.2062
0.14437,0.0015,0.9823,-0.2062
0.14585,0.0015,0.9823,-0.2062
0.14732,0.0015,0.9823,-0.2062
0.14879,0.0015,0.9823,-0.2062
0.15027,0.0015,0.9823,-0.2062
0.15175,0.0015,0.9823,-0.2062
0.15322,0.0015,0.9823,-0.2062
0.15470,-0.0068,0.9735,-0.2117
0.15618,-0.0068,0.9735,-0.2117
0.15765,-0.0068,0.9735,-0.2117
0.15913,-0.0068,0.9735,-0.2117
0.16060,-0.0068,0.9735,-0.2117
0.16208,-0.0068,0.9735,-0.2117
0.16356,-0.0068,0.9735,-0.2117
0.16504,-0.0068,0.9735,-0.2117
0.16662,-0.0068,0.9735,-0.2117
0.16809,-0.0068,0.9735,-0.2117
0.16956,-0.0068,0.9735,-0.2117
0.17105,-0.0068,0.9735,-0.2117
0.17253,-0.0068,0.9735,-0.2117
0.17400,-0.0068,0.9886,-0.2023
0.17555,-0.0125,0.9886,-0.2023
0.17707,-0.0125,0.9886,-0.2023
0.17848,-0.0125,0.9886,-0.2023
0.17988,-0.0125,0.9886,-0.2023
0.18138,-0.0125,0.9886,-0.2023
0.18291,-0.0125,0.9886,-0.2023
0.18437,-0.0125,0.9886,-0.2023
0.18582,-0.0125,0.9886,-0.2023
0.18727,-0.0125,0.9886,-0.2023
0.18872,-0.0125,0.9886,-0.2023
0.19018,-0.0125,0.9886,-0.2023
0.19203,-0.0125,0.9886,-0.2023
0.19345,-0.0125,0.9886,-0.2017
0.19486,-0.009,0.9867,-0.2017
0.19626,-0.009,0.9867,-0.2017
0.19767,-0.009,0.9867,-0.2017
0.19908,-0.009,0.9867,-0.2017
0.20048,-0.009,0.9867,-0.2017
0.20191,-0.009,0.9867,-0.2017
0.20339,-0.009,0.9867,-0.2017
0.20486,-0.009,0.9867,-0.2017
0.20634,-0.009,0.9867,-0.2017
0.20782,-0.009,0.9867,-0.2017
0.20930,-0.009,0.9867,-0.2017
0.21077,-0.009,0.9867,-0.2017
0.21225,-0.009,0.9867,-0.2017
0.21373,-0.009,0.9865,-0.2046
0.21520,-0.0079,0.9865,-0.2046
0.21669,-0.0079,0.9865,-0.2046
0.21816,-0.0079,0.9865,-0.2046
0.21963,-0.0079,0.9865,-0.2046
0.22110,-0.0079,0.9865,-0.2046
0.22256,-0.0079,0.9865,-0.2046
0.22397,-0.0079,0.9865,-0.2046
0.22537,-0.0079,0.9865,-0.2046
0.22678,-0.0079,0.9865,-0.2046
0.22818,-0.0079,0.9865,-0.2046
0.22959,-0.0079,0.9865,-0.2046
0.23099,-0.0079,0.9865,-0.2046
0.23255,-0.0079,0.9865,-0.2046
0.23396,-0.0144,0.9844,-0.2146
0.23537,-0.0144,0.9844,-0.2146
0.23677,-0.0144,0.9844,-0.2146
0.23818,-0.0144,0.9844,-0.2146
0.23958,-0.0144,0.9844,-0.2146
0.24099,-0.0144,0.9844,-0.2146
0.24260,-0.0144,0.9844,-0.2146
0.24408,-0.0144,0.9844,-0.2146
0.24556,-0.0144,0.9844,-0.2146
0.24702,-0.0144,0.9844,-0.2146
0.24850,-0.0144,0.9844,-0.2146
0.24997,-0.0144,0.9844,-0.2146
0.25156,-0.0144,0.9844,-0.2146
0.25304,-0.0144,0.9844,-0.2019
0.25451,-0.0164,0.9899,-0.2019
0.25599,-0.0164,0.9899,-0.2019
0.25746,-0.0164,0.9899,-0.2019
0.25893,-0.0164,0.9899,-0.2019
0.26041,-0.0164,0.9899,-0.2019
0.26189,-0.0164,0.9899,-0.2019
0.26337,-0.0164,0.9899,-0.2019
0.26485,-0.0164,0.9899,-0.2019
0.26632,-0.0164,0.9899,-0.2019
0.26779,-0.0164,0.9899,-0.2019
0.26926,-0.0164,0.9899,-0.2019
0.27074,-0.0164,0.9899,-0.2019
0.27222,-0.0164,0.9899,-0.2019
0.27364,-0.0153,0.9855,-0.205
0.27505,-0.0153,0.9855,-0.205
0.27646,-0.0153,0.9855,-0.205
0.27786,-0.0153,0.9855,-0.205
0.27927,-0.0153,0.9855,-0.205
0.28067,-0.0153,0.9855,-0.205
0.28211,-0.0153,0.9855,-0.205
0.28358,-0.0153,0.9855,-0.205
0.28506,-0.0153,0.9855,-0.205
0.28654,-0.0153,0.9855,-0.205
0.28801,-0.0153,0.9855,-0.205
0.28948,-0.0153,0.9855,-0.205
0.29095,-0.0153,0.9855,-0.205
0.29246,-0.0153,0.9855,-0.1987
0.29394,-0.0149,0.9875,-0.1987
0.29542,-0.0149,0.9875,-0.1987
0.29689,-0.0149,0.9875,-0.1987
0.29846,-0.0149,0.9875,-0.1987
0.30002,-0.0149,0.9875,-0.1987
0.30149,-0.0149,0.9875,-0.1987
0.30336,-0.0149,0.9875,-0.1987
0.30485,-0.0149,0.9875,-0.1987
0.30632,-0.0149,0.9875,-0.1987
0.30779,-0.0149,0.9875,-0.1987
0.30926,-0.0149,0.9875,-0.1987
0.31074,-0.0149,0.9875,-0.1987
0.31224,-0.0149,0.9875,-0.2024
0.31373,-0.0055,0.9874,-0.2024
0.31521,-0.0055,0.9874,-0.2024
0.31668,-0.0055,0.9874,-0.2024
0.31816,-0.0055,0.9874,-0.2024
0.31963,-0.0055,0.9874,-0.2024
0.32111,-0.0055,0.9874,-0.2024
0.32256,-0.0055,0.9874,-0.2024
0.32396,-0.0055,0.9874,-0.2024
0.32537,-0.0055,0.9874,-0.2024
0.32678,-0.0055,0.9874,-0.2024
0.32818,-0.0055,0.9874,-0.2024
0.32959,-0.0055,0.9874,-0.2024
0.33100,-0.0055,0.9874,-0.2024
0.33244,-0.0055,0.9814,-0.1952
0.33385,0.0029,0.9814,-0.1952
0.33536,0.0029,0.9814,-0.1952
0.33677,0.0029,0.9814,-0.1952
0.33818,0.0029,0.9814,-0.1952
0.33958,0.0029,0.9814,-0.1952
0.34099,0.0029,0.9814,-0.1952
0.34241,0.0029,0.9814,-0.1952
0.34385,0.0029,0.9814,-0.1952
0.34525,0.0029,0.9814,-0.1952
0.34666,0.0029,0.9814,-0.1952
0.34806,0.0029,0.9814,-0.1952
0.34947,0.0029,0.9814,-0.1952
0.35088,0.0029,0.9814,-0.1952
0.35233,0.0029,0.9834,-0.2042
0.35380,-0.02,0.9834,-0.2042
0.35520,-0.02,0.9834,-0.2042
0.35660,-0.02,0.9834,-0.2042
0.35801,-0.02,0.9834,-0.2042
0.35941,-0.02,0.9834,-0.2042
0.36082,-0.02,0.9834,-0.2042
0.36230,-0.02,0.9834,-0.2042
0.36378,-0.02,0.9834,-0.2042
0.36519,-0.02,0.9834,-0.2042
0.36659,-0.02,0.9834,-0.2042
0.36800,-0.02,0.9834,-0.2042
0.36940,-0.02,0.9834,-0.2042
0.37081,-0.02,0.9834,-0.2042
0.37226,-0.02,0.9869,-0.197
0.37375,-0.0082,0.9869,-0.197
0.37522,-0.0082,0.9869,-0.197
0.37669,-0.0082,0.9869,-0.197
0.37817,-0.0082,0.9869,-0.197
0.37964,-0.0082,0.9869,-0.197
0.38111,-0.0082,0.9869,-0.197
0.38260,-0.0082,0.9869,-0.197
0.38407,-0.0082,0.9869,-0.197
0.38555,-0.0082,0.9869,-0.197
0.38703,-0.0082,0.9869,-0.197
0.38850,-0.0082,0.9869,-0.197
0.38997,-0.0082,0.9869,-0.197
0.39145,-0.0082,0.9869,-0.197
0.39293,-0.0082,0.9883,-0.2103
0.39440,-0.0082,0.9883,-0.2103
0.39587,-0.0082,0.9883,-0.2103
0.39734,-0.0082,0.9883,-0.2103
0.39882,-0.0082,0.9883,-0.2103
0.40030,-0.0082,0.9883,-0.2103
0.40178,-0.0082,0.9883,-0.2103
0.40325,-0.0082,0.9883,-0.2103
0.40473,-0.0082,0.9883,-0.2103
0.40621,-0.0082,0.9883,-0.2103
0.40768,-0.0082,0.9883,-0.2103
0.40916,-0.0082,0.9883,-0.2103
0.41063,-0.0082,0.9883,-0.2103
0.41209,-0.0082,0.986,-0.1997
0.41351,-0.0076,0.986,-0.1997
0.41492,-0.0076,0.986,-0.1997
0.41632,-0.0076,0.986,-0.1997
0.41782,-0.0076,0.986,-0.1997
0.41945,-0.0076,0.986,-0.1997
0.42086,-0.0076,0.986,-0.1997
0.42242,-0.0076,0.986,-0.1997
0.42401,-0.0076,0.986,-0.1997
0.42548,-0.0076,0.986,-0.1997
0.42696,-0.0076,0.986,-0.1997
0.42844,-0.0076,0.986,-0.1997
0.42991,-0.0076,0.986,-0.1997
0.43139,-0.0076,0.986,-0.2052
0.43286,-0.0168,0.9869,-0.2052
0.43433,-0.0168,0.9869,-0.2052
0.43582,-0.0168,0.9869,-0.2052
0.43728,-0.0168,0.9869,-0.2052
0.43875,-0.0168,0.9869,-0.2052
0.44022,-0.0168,0.9869,-0.2052
0.44170,-0.0168,0.9869,-0.2052
0.44318,-0.0168,0.9869,-0.2052
0.44465,-0.0168,0.9869,-0.2052
0.44612,-0.0168,0.9869,-0.2052
0.44759,-0.0168,0.9869,-0.2052
0.44906,-0.0168,0.9869,-0.2052
0.45055,-0.0168,0.9869,-0.2052
0.45203,-0.0116,0.9878,-0.1947
0.45347,-0.0116,0.9878,-0.1947
0.45488,-0.0116,0.9878,-0.1947
0.45628,-0.0116,0.9878,-0.1947
0.45768,-0.0116,0.9878,-0.1947
0.45910,-0.0116,0.9878,-0.1947
0.46049,-0.0116,0.9878,-0.1947
0.46191,-0.0116,0.9878,-0.1947
0.46331,-0.0116,0.9878,-0.1947
0.46472,-0.0116,0.9878,-0.1947
0.46612,-0.0116,0.9878,-0.1947
0.46753,-0.0116,0.9878,-0.1947
0.46893,-0.0116,0.9878,-0.1947
0.47034,-0.0116,0.9878,-0.1947
0.47179,-0.0112,0.9838,-0.2146
0.47324,-0.0112,0.9838,-0.2146
0.47464,-0.0112,0.9838,-0.2146
0.47605,-0.0112,0.9838,-0.2146
0.47745,-0.0112,0.9838,-0.2146
0.47886,-0.0112,0.9838,-0.2146
0.48026,-0.0112,0.9838,-0.2146
0.48175,-0.0112,0.9838,-0.2146
0.48328,-0.0112,0.9838,-0.2146
0.48474,-0.0112,0.9838,-0.2146
0.48622,-0.0112,0.9838,-0.2146
0.48769,-0.0112,0.9838,-0.2146
0.48918,-0.0112,0.9838,-0.2146
0.49065,-0.0112,0.9838,-0.1968
0.49212,-0.0079,0.9854,-0.1968
0.49360,-0.0079,0.9854,-0.1968
0.49507,-0.0079,0.9854,-0.1968
0.49655,-0.0079,0.9854,-0.1968
0.49803,-0.0079,0.9854,-0.1968
0.49950,-0.0079,0.9854,-0.1968
0.50097,-0.0079,0.9854,-0.1968
0.50245,-0.0079,0.9854,-0.1968
0.50404,-0.0079,0.9854,-0.1968
0.50551,-0.0079,0.9854,-0.1968
0.50699,-0.0079,0.9854,-0.1968
0.50847,-0.0079,0.9854,-0.1968
0.50994,-0.0079,0.9854,-0.1968
0.51143,-0.0197,0.9861,-0.2029
0.51288,-0.0197,0.9861,-0.2029
0.51429,-0.0197,0.9861,-0.2029
0.51569,-0.0197,0.9861,-0.2029
0.51710,-0.0197,0.9861,-0.2029
0.51850,-0.0197,0.9861,-0.2029
0.51990,-0.0197,0.9861,-0.2029
0.52133,-0.0197,0.9861,-0.2029
0.52279,-0.0197,0.9861,-0.2029
0.52426,-0.0197,0.9861,-0.2029
0.52573,-0.0197,0.9861,-0.2029
0.52718,-0.0197,0.9861,-0.2029
0.52865,-0.0197,0.9861,-0.2029
0.53012,-0.0197,0.9861,-0.2029
0.53159,-0.014,0.9846,-0.2057
0.53307,-0.014,0.9846,-0.2057
0.53453,-0.014,0.9846,-0.2057
0.53599,-0.014,0.9846,-0.2057
0.53760,-0.014,0.9846,-0.2057
0.53919,-0.014,0.9846,-0.2057
0.54066,-0.014,0.9846,-0.2057
0.54257,-0.014,0.9846,-0.2057
0.54404,-0.014,0.9846,-0.2057
0.54551,-0.014,0.9846,-0.2057
0.54699,-0.014,0.9846,-0.2057
0.54847,-0.014,0.9846,-0.2057
0.54994,-0.014,0.9846,-0.2057
0.55143,-0.0133,0.9857,-0.2147
0.55293,-0.0133,0.9857,-0.2147
0.55440,-0.0133,0.9857,-0.2147
0.55588,-0.0133,0.9857,-0.2147
0.55736,-0.0133,0.9857,-0.2147
0.55883,-0.0133,0.9857,-0.2147
0.56030,-0.0133,0.9857,-0.2147
0.56177,-0.0133,0.9857,-0.2147
0.56325,-0.0133,0.9857,-0.2147
