Sample Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
0.00000,0.041,1.0586,-0.1664
0.00222,0.041,1.0586,-0.1664
0.00364,0.041,1.0586,-0.1664
0.00508,0.041,1.0586,-0.1664
0.00652,0.041,1.0586,-0.1664
0.00793,0.041,1.0586,-0.1783
0.00933,0.0345,0.9762,-0.1783
0.01074,0.0345,0.9762,-0.1783
0.01214,0.0345,0.9762,-0.1783
0.01356,0.0345,0.9762,-0.1783
0.01508,0.0345,0.9762,-0.1783
0.01658,0.0345,0.9762,-0.1783
0.01799,0.0345,0.9762,-0.1783
0.01939,0.0345,0.9762,-0.1783
0.02080,0.0345,0.9762,-0.1948
0.02220,0.0332,0.9753,-0.1948
0.02360,0.0332,0.9753,-0.1948
0.02502,0.0332,0.9753,-0.1948
0.02644,0.0332,0.9753,-0.1948
0.02787,0.0332,0.9753,-0.1948
0.02933,0.0332,0.9753,-0.1948
0.03073,0.0332,0.9753,-0.1948
0.03214,0.0332,0.9753,-0.1948
0.03354,0.0332,0.9753,-0.1948
0.03503,0.0332,0.9753,-0.1948
0.03653,0.0332,0.9753,-0.1948
0.03793,0.0332,0.9753,-0.1948
0.03934,0.0332,0.9753,-0.1948
0.04074,0.0332,0.9753,-0.1698
0.04214,0.0314,0.9794,-0.1698
0.04355,0.0314,0.9794,-0.1698
0.04499,0.0314,0.9794,-0.1698
0.04647,0.0314,0.9794,-0.1698
0.04795,0.0314,0.9794,-0.1698
0.04943,0.0314,0.9794,-0.1698
0.05091,0.0314,0.9794,-0.1698
0.05238,0.0314,0.9794,-0.1698
0.05386,0.0314,0.9794,-0.1698
0.05536,0.0314,0.9794,-0.1698
0.05687,0.0314,0.9794,-0.1698
0.05834,0.0314,0.9794,-0.1698
0.05981,0.0314,0.9794,-0.1698
0.06129,0.031,0.9801,-0.1913
0.06277,0.031,0.9801,-0.1913
0.06424,0.031,0.9801,-0.1913
0.06569,0.031,0.9801,-0.1913
0.06711,0.031,0.9801,-0.1913
0.06852,0.031,0.9801,-0.1913
0.06992,0.031,0.9801,-0.1913
0.07133,0.031,0.9801,-0.1913
0.07274,0.031,0.9801,-0.1913
0.07414,0.031,0.9801,-0.1913
0.07557,0.031,0.9801,-0.1913
0.07701,0.031,0.9801,-0.1913
0.07841,0.031,0.9801,-0.1913
0.07982,0.031,0.9801,-0.1913
0.08124,0.0261,0.9871,-0.1903
0.08283,0.0261,0.9871,-0.1903
0.08424,0.0261,0.9871,-0.1903
0.08568,0.0261,0.9871,-0.1903
0.08716,0.0261,0.9871,-0.1903
0.08863,0.0261,0.9871,-0.1903
0.09011,0.0261,0.9871,-0.1903
0.09159,0.0261,0.9871,-0.1903
0.09306,0.0261,0.9871,-0.1903
0.09454,0.0261,0.9871,-0.1903
0.09605,0.0261,0.9871,-0.1903
0.09753,0.0261,0.9871,-0.1903
0.09901,0.0261,0.9871,-0.1903
0.10048,0.0261,0.9891,-0.1664
0.10195,0.038,0.9891,-0.1664
0.10343,0.038,0.9891,-0.1664
0.10490,0.038,0.9891,-0.1664
0.10639,0.038,0.9891,-0.1664
0.10786,0.038,0.9891,-0.1664
0.10933,0.038,0.9891,-0.1664
0.11081,0.038,0.9891,-0.1664
0.11229,0.038,0.9891,-0.1664
0.11376,0.038,0.9891,-0.1664
0.11523,0.038,0.9891,-0.1664
0.11666,0.038,0.9891,-0.1664
0.11807,0.038,0.9891,-0.1664
0.11947,0.038,0.9891,-0.1664
0.12088,0.0312,0.9904,-0.1691
0.12229,0.0312,0.9904,-0.1691
0.12369,0.0312,0.9904,-0.1691
0.12517,0.0312,0.9904,-0.1691
0.12667,0.0312,0.9904,-0.1691
0.12809,0.0312,0.9904,-0.1691
0.12952,0.0312,0.9904,-0.1691
0.13092,0.0312,0.9904,-0.1691
0.13233,0.0312,0.9904,-0.1691
0.13373,0.0312,0.9904,-0.1691
0.13515,0.0312,0.9904,-0.1691
0.13662,0.0312,0.9904,-0.1691
0.13809,0.0312,0.9904,-0.1691
0.13956,0.0312,0.9904,-0.1691
0.14104,0.0323,0.989,-0.1683
0.14252,0.0323,0.989,-0.1683
0.14399,0.0323,0.989,-0.1683
0.14547,0.0323,0.989,-0.1683
0.14696,0.0323,0.989,-0.1683
0.14843,0.0323,0.989,-0.1683
0.14990,0.0323,0.989,-0.1683
0.15138,0.0323,0.989,-0.1683
0.15285,0.0323,0.989,-0.1683
0.15433,0.0323,0.989,-0.1683
0.15581,0.0323,0.989,-0.1683
0.15729,0.0323,0.989,-0.1683
0.15876,0.0323,0.989,-0.1683
0.16023,0.0323,0.9813,-0.1936
0.16171,0.0328,0.9813,-0.1936
0.16318,0.0328,0.9813,-0.1936
0.16466,0.0328,0.9813,-0.1936
0.16615,0.0328,0.9813,-0.1936
0.16773,0.0328,0.9813,-0.1936
0.16921,0.0328,0.9813,-0.1936
0.17068,0.0328,0.9813,-0.1936
0.17214,0.0328,0.9813,-0.1936
0.17362,0.0328,0.9813,-0.1936
0.17510,0.0328,0.9813,-0.1936
0.17661,0.0328,0.9813,-0.1936
0.17810,0.0328,0.9813,-0.1936
0.17951,0.0328,0.9813,-0.1656
0.18091,0.0353,0.9874,-0.1656
0.18232,0.0353,0.9874,-0.1656
0.18372,0.0353,0.9874,-0.1656
0.18517,0.0353,0.9874,-0.1656
0.18663,0.0353,0.9874,-0.1656
0.18804,0.0353,0.9874,-0.1656
0.18945,0.0353,0.9874,-0.1656
0.19085,0.0353,0.9874,-0.1656
0.19226,0.0353,0.9874,-0.1656
0.19366,0.0353,0.9874,-0.1656
0.19549,0.0353,0.9874,-0.1656
0.19697,0.0353,0.9874,-0.1656
0.19844,0.0353,0.9874,-0.1656
0.19991,0.0353,0.9819,-0.1877
0.20139,0.0338,0.9819,-0.1877
0.20286,0.0338,0.9819,-0.1877
0.20434,0.0338,0.9819,-0.1877
0.20582,0.0338,0.9819,-0.1877
0.20729,0.0338,0.9819,-0.1877
0.20877,0.0338,0.9819,-0.1877
0.21024,0.0338,0.9819,-0.1877
0.21172,0.0338,0.9819,-0.1877
0.21319,0.0338,0.9819,-0.1877
0.21467,0.0338,0.9819,-0.1877
0.21615,0.0338,0.9819,-0.1877
0.21763,0.0338,0.9819,-0.1877
0.21910,0.0338,0.9819,-0.1716
0.22057,0.0371,0.9833,-0.1716
